job_number,account,reg,recurring_line_count,rental_total,subscription_total,recurring_total
SOL-738912,MNFU-0001,ML51ZVGP,11,1835,900,2735
SOL-998233,SEVE-0001,F44 - MX65HCGP,2,341.92,629,970.92
SOL-111660,AUMA-0001,MW25XKGP,1,0,740.37,740.37
SOL-861668,TACI-0001,B557BXN,3,0,614.04,614.04
SOL-495571,TACI-0001,B413BOT,3,0,583,583
SOL-156995,THES-0002,KY79LGGP ,1,270,299,569
SOL-302337,THES-0002,LS97SFGP,1,270,299,569
SOL-409838,THES-0002,DN20DHGP,1,0,569,569
SOL-797426,THES-0002,KCY462MP ,1,270,299,569
SOL-820952,THES-0002,KFW283MP,1,270,299,569
SOL-882375,THES-0002,LMR027MP,1,270,299,569
SOL-932955,THES-0002,JH57ZDGP ,1,270,299,569
SOL-171883,ALST-0001,CH835579,5,0,540,540
SOL-389706,ALST-0001,CH835580,5,0,540,540
SOL-625531,ALST-0001,CH835877,5,0,540,540
SOL-567489,PRCR-0001,CHDB8904,1,216,295,511
SOL-645483,TACI-0001,MX85VFGP,2,0,494,494
SOL-164333,,YMM494GP,1,432,0,432
SOL-655523,DCCT-0001,NEW DASH INSTAALL - LW02LZGP,1,0,295,295
SOL-825729,DCCT-0001,NEW DASHCAM INSTALL - MD36TGGP,1,0,295,295
JOB-1754928396962-95tzjqikr,,AB56CDGP,1,132,0,132
SOL-149026,EDGE-0004,MD30BBGP,1,23,89,112
SOL-289786,EDGE-0004,TEMP795693,1,23,89,112
SOL-611855,EDGE-0004,TEMP019013,1,23,89,112
SOL-250018,EDGE-0008,TEMP007102,1,0,70,70
SOL-525299,EDGE-0004,LB83XNGP,1,0,70,70
SOL-597188,EDGE-0047,TEMPKA0006,1,0,70,70
SOL-850597,EDGE-0008,TEMP047058,1,0,70,70
SOL-120044,TLOG-0001,LCM197MP - RH32,0,0,0,0
SOL-137849,EPSC-0002,DATA UPLOAD - MW90NSGP,0,0,0,0
SOL-156583,MAYS-0001,MAY009,0,0,0,0
SOL-156772,ALST-0001,KB27GLGP,0,0,0,0
SOL-202925,ALST-0001,JZ78PGGP,0,0,0,0
SOL-244000,MAYS-0001,DATA UPLOAD - MAY509,0,0,0,0
SOL-257467,HITA-0001,Nelspruit Service	2006-0222,0,0,0,0
SOL-280898,EPSC-0001,DATA UPLOAD - HW67VCGP,0,0,0,0
SOL-300309,TTLI-0001,JJT993FS - PLS241,0,0,0,0
SOL-304758,EPSC-0001,DATA UPLOAD - HW67VCGP,0,0,0,0
SOL-311550,MACS-0029,DRIVER TAG 7988,0,0,0,0
SOL-311761,TTEX-0001,PANIC INSTALLS,0,0,0,0
SOL-333168,TLOG-0001,JGV565FS - PD117,0,0,0,0
SOL-365876,TLOG-0001,JFP880FS - RH35,0,0,0,0
SOL-373947,ANGE-0001,FN85FKGP,0,0,0,0
SOL-386165,TTEX-0001,PANIC INSTALLS,0,0,0,0
SOL-440825,ANGE-0001,LT00JNGP,0,0,0,0
SOL-489044,ANGE-0001,YMM294GP,0,0,0,0
SOL-489882,TTLI-0001,PANIC INSTALLS,0,0,0,0
SOL-506862,EPSC-0002,DATA UPLOAD  - JF74XHGP,0,0,0,0
SOL-512085,MAYS-0001,MAY007,0,0,0,0
SOL-527276,ALST-0001,JY60PZGP,0,0,0,0
SOL-527893,TTLI-0001,JGK731FS - LH41,0,0,0,0
SOL-530578,EPSC-0002,DATA UPLOAD - JF74YXGP,0,0,0,0
SOL-559160,HITA-0001,MS80SKGP,0,0,0,0
SOL-563195,HITA-0001,National Transport Logistics	1000-0302,0,0,0,0
SOL-575752,EPSC-0002,data upload - JF74YXGP,0,0,0,0
SOL-583341,EPSC-0001,DATA UPLOAD - JF74XGGP,0,0,0,0
SOL-583972,EPSC-0001,Data Upload - KY69YNGP,0,0,0,0
SOL-584374,TTEX-0001,PANIC INSTALLS,0,0,0,0
SOL-617357,WACA-0001,KC31RGGP - CAN AND BUZZER INSTALL,0,0,0,0
SOL-632738,ALST-0001,JX75VDGP,0,0,0,0
SOL-635581,EPSC-0001,DATA UPLOAD - JF74XHGP,0,0,0,0
SOL-642708,EPSC-0001,DATA UPLOAD - MK88RHGP,0,0,0,0
SOL-651530,EPSC-0002,DATA UPLOAD - JF74YXGP,0,0,0,0
SOL-655602,MAYS-0001,data upload - MAY003,0,0,0,0
SOL-694841,TLOG-0001,LDG351MP - FM13,0,0,0,0
SOL-709720,ANGE-0001,FN85FKGP,0,0,0,0
SOL-730788,ALST-0001,JP33GVGP,0,0,0,0
SOL-759415,EPSC-0002,DATA UPLOAD - MK88RHGP,0,0,0,0
SOL-776721,TTLI-0001,PANIC INSTALLS,0,0,0,0
SOL-781197,EPSC-0001,DATA UPLOAD - KY69YNGP,0,0,0,0
SOL-797876,TTLI-0001,LDG422MP - LH33,0,0,0,0
SOL-830555,EPSC-0002,DATA UPLOAD - HY74XFGP,0,0,0,0
SOL-891458,EPSC-0001,HW67VCGP DATA UPLOAD,0,0,0,0
SOL-925203,EPSC-0001,DATA UPLOAD - JF68FMGP,0,0,0,0
SOL-989640,ANGE-0001,YMM294GP,0,0,0,0
SOL-995120,MAYS-0001,DATA UPLOAD - MAY002,0,0,0,0