job_number,new_account_number,vehicle_registration,item_id,item_name,item_description,item_code,code,type,category,qty,quantity,rental_price,subscription_price,rental_gross,subscription_gross,invoice_number,customer_name
SOL-850597,EDGE-0008,TEMP047058,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,70,0,70,,
SOL-998233,SEVE-0001,F44 - MX65HCGP,e8a9aac7-98fd-4a9f-b01e-d5a3670df4b3,MIX-4000,MIX-4000,,,MODULE,MIX,1,1,324,540,324,540,,
SOL-998233,SEVE-0001,F44 - MX65HCGP,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,17.92,89,17.92,89,,
SOL-567489,PRCR-0001,CHDB8904,3017be68-7cde-49a2-a54b-a9967b530e47,MTX-MC202 EU - 4G Dashcam MC202,4G Dashcam MC202,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,216,295,216,295,,
SOL-738912,MNFU-0001,ML51ZVGP,1780a1d4-b489-4258-a199-b6668b24cd0e,MTX-MC904 EU / MDVR MINI - 4CH - NON AI,MDVR MINI 4 Channel Non-AI,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,543,295,543,295,,
SOL-738912,MNFU-0001,ML51ZVGP,0be72037-8983-4339-9325-e8ebf39e5b9f,MTX-MC820E / ROAD FACING ADAS CAM,Road Facing ADAS Camera,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,55,0,55,0,,
SOL-738912,MNFU-0001,ML51ZVGP,8565b9a1-0108-48fe-a6a0-7190a6bfbc6a,MTX-MC833 / DRIVER FACING CAM NO AI,Driver Facing Camera No AI,,,MTX CAMERA,CAMERA EQUIPMENT,2,2,99,0,99,0,,
SOL-738912,MNFU-0001,ML51ZVGP,16cd170c-a774-4582-929f-4280cebefb6f,MTX - CABLE - 5M,5 Meter Cable,,,MTX CAMERA,CAMERA EQUIPMENT,2,2,16,0,16,0,,
SOL-738912,MNFU-0001,ML51ZVGP,f6ea50b5-6b60-4a2d-8a6b-15a2be9d4602,MTX-CABLE 10M / 10 METER EXT CABLE,10 Meter Extension Cable,,,MTX CAMERA,CAMERA EQUIPMENT,2,2,26,0,26,0,,
SOL-738912,MNFU-0001,ML51ZVGP,40f07ec2-cc03-4591-98ce-a1dce834b1f6,SIM CARD (CAMERA) CORPCONNECT,SUPPLIER: VODACOM | CODE: SIM 1GB PM,,,MODULE,SIM,1,1,128,0,128,0,,
SOL-738912,MNFU-0001,ML51ZVGP,c1180e2f-171a-4a4b-9855-4749a3465070,Sky-Can,Canbus integration,,,MODULE,MODULE,1,1,53,0,53,0,,
SOL-738912,MNFU-0001,ML51ZVGP,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,31,89,31,89,,
SOL-738912,MNFU-0001,ML51ZVGP,044258a0-58dd-4a9d-b9a1-06ec3cac4303,Fuel Probe Dual Tank,Fuel Monitoring System works with Skylink Pro only,,,MODULE,MODULE,1,1,658,22,658,22,,
SOL-738912,MNFU-0001,ML51ZVGP,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,226,299,226,299,,
SOL-738912,MNFU-0001,ML51ZVGP,dde96477-cf45-4dac-abc5-2b635b542fc1,Roaming,Cross Border Tracking,,,SERVICES,SERVICES,1,1,0,195,0,195,,
SOL-250018,EDGE-0008,TEMP007102,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,70,0,70,,
SOL-625531,ALST-0001,CH835877,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,299,0,299,,
SOL-625531,ALST-0001,CH835877,aa0988dc-6462-4767-a6ce-a9e2ef053206,Fuel Probe Single Tank,Fuel Monitoring System works with Skylink Pro only,,,MODULE,MODULE,1,1,0,22,0,22,,
SOL-625531,ALST-0001,CH835877,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,89,0,89,,
SOL-625531,ALST-0001,CH835877,6e6a2bf1-8197-4da0-af49-2a6f6cceff3e,Management and Consultant,Management and Consultant,,,SERVICES,SERVICES,1,1,0,75,0,75,,
SOL-625531,ALST-0001,CH835877,be2c3aaa-76be-48ff-a001-bc77c1bf312c,After Hours Maintenance,After Hours Maintanance - Optional,,,SERVICES,SERVICES,1,1,0,55,0,55,,
SOL-171883,ALST-0001,CH835579,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,299,0,299,,
SOL-171883,ALST-0001,CH835579,aa0988dc-6462-4767-a6ce-a9e2ef053206,Fuel Probe Single Tank,Fuel Monitoring System works with Skylink Pro only,,,MODULE,MODULE,1,1,0,22,0,22,,
SOL-171883,ALST-0001,CH835579,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,89,0,89,,
SOL-171883,ALST-0001,CH835579,6e6a2bf1-8197-4da0-af49-2a6f6cceff3e,Management and Consultant,Management and Consultant,,,SERVICES,SERVICES,1,1,0,75,0,75,,
SOL-171883,ALST-0001,CH835579,be2c3aaa-76be-48ff-a001-bc77c1bf312c,After Hours Maintenance,After Hours Maintanance - Optional,,,SERVICES,SERVICES,1,1,0,55,0,55,,
SOL-655523,DCCT-0001,NEW DASH INSTAALL - LW02LZGP,9d89891d-9075-4417-916a-7b55c1c425fb,MTX-MC401,4G DASHCAM 4CH,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,0,295,0,295,,
SOL-825729,DCCT-0001,NEW DASHCAM INSTALL - MD36TGGP,9d89891d-9075-4417-916a-7b55c1c425fb,MTX-MC401,4G DASHCAM 4CH,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,0,295,0,295,,
SOL-111660,AUMA-0001,MW25XKGP,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,740.37,0,740.37,,
SOL-495571,TACI-0001,B413BOT,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,299,0,299,,
SOL-495571,TACI-0001,B413BOT,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,89,0,89,,
SOL-495571,TACI-0001,B413BOT,dde96477-cf45-4dac-abc5-2b635b542fc1,Roaming,Cross Border Tracking,,,SERVICES,SERVICES,1,1,0,195,0,195,,
SOL-389706,ALST-0001,CH835580,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,299,0,299,,
SOL-389706,ALST-0001,CH835580,aa0988dc-6462-4767-a6ce-a9e2ef053206,Fuel Probe Single Tank,Fuel Monitoring System works with Skylink Pro only,,,MODULE,MODULE,1,1,0,22,0,22,,
SOL-389706,ALST-0001,CH835580,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,89,0,89,,
SOL-389706,ALST-0001,CH835580,6e6a2bf1-8197-4da0-af49-2a6f6cceff3e,Management and Consultant,Management and Consultant,,,SERVICES,SERVICES,1,1,0,75,0,75,,
SOL-389706,ALST-0001,CH835580,be2c3aaa-76be-48ff-a001-bc77c1bf312c,After Hours Maintenance,After Hours Maintanance - Optional,,,SERVICES,SERVICES,1,1,0,55,0,55,,
SOL-861668,TACI-0001,B557BXN,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,0,322.92,0,322.92,,
SOL-861668,TACI-0001,B557BXN,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,96.12,0,96.12,,
SOL-861668,TACI-0001,B557BXN,dde96477-cf45-4dac-abc5-2b635b542fc1,Roaming,Cross Border Tracking,,,SERVICES,SERVICES,1,1,0,195,0,195,,
SOL-597188,EDGE-0047,TEMPKA0006,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,70,0,70,,
SOL-525299,EDGE-0004,LB83XNGP,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,70,0,70,,
SOL-645483,TACI-0001,MX85VFGP,d52e3106-3f3d-4762-8dfa-9da37e87478d,Skylink Asset (Trailer),Telematics Unit with Accelerometer and 4x inputs for Trailers,,,FMS,FMS,1,1,0,299,0,299,,
SOL-645483,TACI-0001,MX85VFGP,dde96477-cf45-4dac-abc5-2b635b542fc1,Roaming,Cross Border Tracking,,,SERVICES,SERVICES,1,1,0,195,0,195,,
SOL-732202,ALST-0001,N/A,5c525deb-7c2f-4f06-a0fa-23902b07995a,Routing,Routing,,,SERVICES,SERVICES,1,1,0,35000,0,35000,,
SOL-820952,THES-0002,KFW283MP,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,270,299,270,299,,
SOL-149026,EDGE-0004,MD30BBGP,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,HARDWARE,1,1,0,70,23,89,,
SOL-289786,EDGE-0004,TEMP795693,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,HARDWARE,1,1,0,70,23,89,,
SOL-164333,,YMM494GP,42b87e7b-027f-4350-bce4-edacb21e671b,BREATHALOK,,,,PFK CAMERA,CAMERA EQUIPMENT,1,1,0,0,432,0,,
SOL-760653,MACS-0022,TOYOTA,b5bdde21-b25b-4433-852b-dfcb36b2a1cb,MTX – MTX-MC202X,MTX – MTX-MC202,,,MTX CAMERA,CAMERA EQUIPMENT,1,1,137,295,137,295,,
SOL-611855,EDGE-0004,TEMP019013,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,HARDWARE,1,1,0,70,23,89,,
JOB-1754928396962-95tzjqikr,,AB56CDGP,3b1ef2c1-f1ec-4e00-ace6-97ff02295262,"2.5"" SSD 480GB",480GB SD Memory Card,,,DVR CAMERA,CAMERA EQUIPMENT,1,1,132,0,132,0,,
SOL-932955,THES-0002,JH57ZDGP,8a11682e-5958-4b9b-aed5-5aa49ff2e0e4,Skylink Pro,Telematics Unit with Accelerometer and 4x inputs,,,FMS,FMS,1,1,270,299,270,299,,
JOB-1754983842269-ls95urb0r,,gdjd,eb74fd62-1046-4215-9592-f738c8e947e2,1M Fuel Harness,Probe Harness,,,MODULE,MODULES,1,1,16,0,16,0,,
JOB-1754983842269-ls95urb0r,,gdjd,c2d0176c-5223-4dcb-888d-7fb500dcb415,3M Fuel Harness,3M Fuel Harness,,,MODULE,MODULES,1,1,23,0,23,0,,
SOL-623042,EDGE-0005,LCW704NW,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,BACKUP,1,1,0,70,0,70,,
SOL-797426,THES-0002,KCY462MP,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,270,299,270,299,,
SOL-882375,THES-0002,LMR027MP,233a6aba-e005-4253-b05a-f9d0fe798a14,Skylink PRO 2G 3G 4G,SUPPLIER: ITURAN | CODE: P03STARLINK3G,,,FMS,FMS,1,1,270,299,270,299,,
SOL-156995,THES-0002,KY79LGGP,8a11682e-5958-4b9b-aed5-5aa49ff2e0e4,Skylink Pro,Telematics Unit with Accelerometer and 4x inputs,,,FMS,FMS,1,1,270,299,270,299,,
SOL-409838,THES-0002,DN20DHGP,8a11682e-5958-4b9b-aed5-5aa49ff2e0e4,Skylink Pro,Telematics Unit with Accelerometer and 4x inputs,,,FMS,FMS,1,1,0,569,0,569,,
SOL-302337,THES-0002,LS97SFGP,8a11682e-5958-4b9b-aed5-5aa49ff2e0e4,Skylink Pro,Telematics Unit with Accelerometer and 4x inputs,,,FMS,FMS,1,1,270,299,270,299,,
JOB-1754983990908-jv74w752n,,AB56CDGP,8a11682e-5958-4b9b-aed5-5aa49ff2e0e4,Skylink Pro,Telematics Unit with Accelerometer and 4x inputs,,,FMS,HARDWARE,1,1,168,349,168,349,,